registradoEm,nomeEpisodio,animeNome,temporada,loreNome,modeloLlm,statusFinal,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos
2026-07-24T01:54:27.004305800Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,324,320,0,301390,3
2026-07-24T01:58:26.916080900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E10_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,286,282,0,239910,0
2026-07-24T02:03:38.728438300Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,345,340,0,311806,2
2026-07-24T02:07:44.651100100Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E12_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,273,271,0,245916,2
2026-07-24T02:11:06.331010700Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,238,225,0,201677,2
2026-07-25T12:18:47.424436800Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,346,335,0,329228,3
2026-07-25T12:19:10.170129800Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,24,21,0,22725,0
2026-07-25T12:24:34.886715100Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,358,347,0,324710,3
2026-07-25T12:26:25.275594900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_Track2.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,93,91,0,110373,2
2026-07-25T12:31:11.535244200Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,329,318,0,286248,1
2026-07-25T12:36:55.303333900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,370,356,0,343758,4
2026-07-25T12:42:57.669464500Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,390,382,0,362352,4
2026-07-25T12:47:20.967029300Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,303,299,0,263290,2
2026-07-25T12:52:33.615614100Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,352,343,0,312633,6
2026-07-25T12:58:01.569395100Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,411,403,0,327935,1
2026-07-25T13:02:57.459335Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,324,320,0,295872,2
2026-07-25T13:06:50.720690900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E10_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,286,282,0,233244,0
2026-07-25T13:11:55.363215300Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,345,341,0,304633,1
2026-07-25T13:15:52.255470600Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E12_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,273,271,0,236885,1
2026-07-25T13:19:00.450327900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,238,225,0,188185,5
2026-07-25T13:30:53.422857100Z,Guilty Crown - 01_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,216,212,0,165923,1
2026-07-25T13:35:31.141880Z,Guilty Crown - 02_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,Guilty Crown,mistralai/mistral-nemo-instruct-2407,PARCIAL,277,271,0,277709,15
